ric,data_load,capitalization,current_price,ticker
BUFQ.Z,2026-03-31,1.18336,34.81,BUFQ.Z
BUFR.Z,2026-03-31,8.468927,33.45,BUFR.Z
BULZ.P,2026-03-31,93.010196,16.46,BULZ.P
BUYW.Z,2026-03-31,1.080245,13.98,BUYW.Z
BWVTF.PK,2026-03-31,70.088043,115.0,BWVTF.PK
BWX.P,2026-03-31,1.492165,21.83,BWX.P
BXSL.N,2026-03-31,5.525937,23.34,BXSL.N
CALF.Z,2026-03-31,3.187048,44.42,CALF.Z
CAM.P,2026-03-31,1.112816,24.97,CAM.P
CARD.P,2026-03-31,93.010196,3.69,CARD.P
CARU.P,2026-03-31,93.010196,18.9,CARU.P
CARY.OQ,2026-03-31,1.010707,20.74,CARY.OQ
CATH.OQ,2026-03-31,1.060602,76.74,CATH.OQ
CEF.P,2026-03-31,8.754289,46.87,CEF.P
CET.A,2026-03-31,1.435503,49.14,CET.A
CGBL.P,2026-03-31,5.285354,34.0,CGBL.P
CGCB.P,2026-03-31,4.555822,26.24,CGCB.P
CGCP.P,2026-03-31,7.277773,22.3,CGCP.P
CGCV.P,2026-03-31,1.460981,29.53,CGCV.P
CGDG.P,2026-03-31,4.474913,35.51,CGDG.P
CGDV.P,2026-03-31,28.369585,41.93,CGDV.P
CGGE.P,2026-03-31,2.086358,29.99,CGGE.P
CGGO.P,2026-03-31,8.446343,32.67,CGGO.P
CGGR.P,2026-03-31,18.711393,39.42,CGGR.P
CGHM.P,2026-03-31,2.751502,25.28,CGHM.P
CGIC.P,2026-03-31,1.458752,32.7,CGIC.P
CGIE.P,2026-03-31,1.810247,33.27,CGIE.P
CGMM.P,2026-03-31,1.900843,28.84,CGMM.P
CGMS.P,2026-03-31,4.468027,27.14,CGMS.P
CGMU.P,2026-03-31,5.538989,27.16,CGMU.P
CGNG.P,2026-03-31,1.687044,30.85,CGNG.P
CGSD.P,2026-03-31,2.124375,25.78,CGSD.P
CGSM.P,2026-03-31,1.10334,26.29,CGSM.P
CGUS.P,2026-03-31,8.559918,37.87,CGUS.P
CGW.P,2026-03-31,1.001969,63.05,CGW.P
CGXU.P,2026-03-31,4.777171,28.85,CGXU.P
CIBR.OQ,2026-03-31,9.145856,61.73,CIBR.OQ
CLIP.P,2026-03-31,2.426456,100.36,CLIP.P
CLM.A,2026-03-31,2.076516,7.08,CLM.A
CLOA.OQ,2026-03-31,1.901622,51.84,CLOA.OQ
CLOI.P,2026-03-31,1.311234,52.68,CLOI.P
CMF.P,2026-03-31,4.089512,56.84,CMF.P
COMT.OQ,2026-03-31,1.019007,34.28,COMT.OQ
COPX.P,2026-03-31,6.472166,73.5,COPX.P
CORO.OQ,2026-03-31,2.917504,31.54,CORO.OQ
CORP.P,2026-03-31,1.606117,96.7,CORP.P
COWG.OQ,2026-03-31,2.052654,33.28,COWG.OQ
COWZ.Z,2026-03-31,17.979045,62.22,COWZ.Z
CQQQ.P,2026-03-31,2.44842,44.87,CQQQ.P
CRF.A,2026-03-31,1.075384,6.83,CRF.A
CRUX.P,2026-03-31,1.899907,30.0,CRUX.P
CSQ.OQ,2026-03-31,2.646099,16.85,CSQ.OQ
CTA.P,2026-03-31,1.519518,30.49,CTA.P
CWB.P,2026-03-31,4.54104,90.21,CWB.P
CWI.P,2026-03-31,2.321974,36.04,CWI.P
DBA.P,2026-03-31,1.091581,27.21,DBA.P
DBC.P,2026-03-31,1.714637,29.29,DBC.P
DBEF.P,2026-03-31,8.126255,48.84,DBEF.P
DBMF.P,2026-03-31,3.305729,30.18,DBMF.P
DCOR.P,2026-03-31,2.570277,71.35,DCOR.P
DDWM.Z,2026-03-31,1.249263,43.52,DDWM.Z
DEM.P,2026-03-31,3.458455,48.95,DEM.P
DES.P,2026-03-31,1.91337,35.65,DES.P
DFAC.P,2026-03-31,39.27284,38.28,DFAC.P
DFAE.P,2026-03-31,7.706476,33.0,DFAE.P
DFAI.P,2026-03-31,14.356496,38.36,DFAI.P
DFAR.P,2026-03-31,1.535976,23.46,DFAR.P
DFAS.P,2026-03-31,12.375016,70.37,DFAS.P
DFAT.P,2026-03-31,12.423305,61.8,DFAT.P
DFAU.P,2026-03-31,9.925448,44.45,DFAU.P
DFAW.P,2026-03-31,1.106276,72.37,DFAW.P
DFAX.P,2026-03-31,9.92155,33.35,DFAX.P
DFCF.P,2026-03-31,9.571096,42.16,DFCF.P
DFEM.P,2026-03-31,7.482738,33.66,DFEM.P
DFEV.P,2026-03-31,1.499018,35.02,DFEV.P
DFGP.OQ,2026-03-31,2.328206,53.85,DFGP.OQ
DFGR.P,2026-03-31,3.146052,26.34,DFGR.P
DFGX.OQ,2026-03-31,1.470207,52.33,DFGX.OQ
DFIC.Z,2026-03-31,12.578503,35.01,DFIC.Z
DFIP.P,2026-03-31,1.065818,41.79,DFIP.P
DFIS.Z,2026-03-31,5.11299,33.13,DFIS.Z
DFIV.P,2026-03-31,14.586261,52.11,DFIV.P
DFLV.P,2026-03-31,5.264259,35.4,DFLV.P
DFNM.P,2026-03-31,2.052765,47.94,DFNM.P
DFSD.P,2026-03-31,6.393434,47.82,DFSD.P
DFSU.P,2026-03-31,1.80348,40.41,DFSU.P
DFSV.P,2026-03-31,6.667558,34.71,DFSV.P
DFUS.P,2026-03-31,17.473603,69.87,DFUS.P
DFUV.P,2026-03-31,13.173549,48.0,DFUV.P
DGRO.P,2026-03-31,36.897402,69.44,DGRO.P
DGRW.OQ,2026-03-31,14.963055,86.7,DGRW.OQ
DGS.P,2026-03-31,1.63828,58.87,DGS.P
DHS.P,2026-03-31,1.417944,108.99,DHS.P
DIA.P,2026-03-31,40.659572,456.04,DIA.P
DIHP.Z,2026-03-31,5.328194,31.79,DIHP.Z
DISV.Z,2026-03-31,4.302,38.92,DISV.Z
DIVB.Z,2026-03-31,1.24152,53.84,DIVB.Z
DIVI.P,2026-03-31,2.230105,39.26,DIVI.P
DIVO.P,2026-03-31,6.4856,44.38,DIVO.P
DLN.P,2026-03-31,5.533203,88.48,DLN.P
DNP.N,2026-03-31,3.858649,10.23,DNP.N
DON.P,2026-03-31,3.652115,52.07,DON.P
DRSK.Z,2026-03-31,1.4118,27.28,DRSK.Z
DSI.P,2026-03-31,4.472016,119.66,DSI.P
DSL.N,2026-03-31,1.206469,10.68,DSL.N
DSTL.P,2026-03-31,1.766564,57.52,DSTL.P
DTCR.OQ,2026-03-31,1.146543,23.43,DTCR.OQ
DTD.P,2026-03-31,1.46142,85.45,DTD.P
DUHP.P,2026-03-31,10.190052,36.22,DUHP.P
DULL.P,2026-03-31,93.010196,54.78,DULL.P
DUSA.Z,2026-03-31,1.002829,50.37,DUSA.Z
DUSB.P,2026-03-31,1.836788,50.68,DUSB.P
DVY.OQ,2026-03-31,22.076914,150.5,DVY.OQ
DVYE.P,2026-03-31,1.258136,33.88,DVYE.P
DXJ.P,2026-03-31,5.897227,155.85,DXJ.P
DYNF.P,2026-03-31,29.091076,57.28,DYNF.P
EAGG.P,2026-03-31,4.67284,47.54,EAGG.P
EAGL.P,2026-03-31,3.639676,30.06,EAGL.P
EBND.P,2026-03-31,2.246978,20.5,EBND.P
ECAT.N,2026-03-31,1.330886,13.71,ECAT.N
EDIV.P,2026-03-31,1.135428,38.96,EDIV.P
EDV.P,2026-03-31,4.077764,64.87,EDV.P
EEM.P,2026-03-31,24.2433,55.24,EEM.P
EEMA.OQ,2026-03-31,1.100036,93.65,EEMA.OQ
EEMV.Z,2026-03-31,3.0919,63.42,EEMV.Z
EFA.P,2026-03-31,69.42366,95.46,EFA.P
EFAV.Z,2026-03-31,5.25952,90.39,EFAV.Z
EFG.Z,2026-03-31,13.392904,109.64,EFG.Z
EFV.Z,2026-03-31,27.93096,73.35,EFV.Z
EMB.OQ,2026-03-31,14.199275,93.51,EMB.OQ
EMGF.Z,2026-03-31,1.45575,58.92,EMGF.Z
EMLC.P,2026-03-31,4.720746,24.96,EMLC.P
EMLP.P,2026-03-31,4.016704,43.79,EMLP.P
EMO.N,2026-03-31,1.06698,53.75,EMO.N
EMOP.P,2026-03-31,1.356457,42.81,EMOP.P
EMXC.OQ,2026-03-31,17.07204,76.29,EMXC.OQ
EOS.N,2026-03-31,1.036996,20.05,EOS.N
EPI.P,2026-03-31,2.09827,40.0,EPI.P
EPP.P,2026-03-31,1.991424,52.46,EPP.P
EPS.P,2026-03-31,1.304534,66.98,EPS.P
EQTY.P,2026-03-31,1.201012,25.16,EQTY.P
EQWL.P,2026-03-31,2.235162,113.64,EQWL.P
ESGD.OQ,2026-03-31,10.36784,94.19,ESGD.OQ
ESGE.OQ,2026-03-31,5.74218,44.29,ESGE.OQ
ESGU.OQ,2026-03-31,14.42595,139.19,ESGU.OQ
ESGV.Z,2026-03-31,10.714132,110.27,ESGV.Z
ESML.Z,2026-03-31,2.07252,46.3,ESML.Z
ETG.N,2026-03-31,1.484461,19.91,ETG.N
ETH.P,2026-03-31,1.750089,19.58,ETH.P
ETHA.OQ,2026-03-31,6.122659,15.6,ETHA.OQ
ETHE.P,2026-03-31,1.721243,16.81,ETHE.P
ETV.N,2026-03-31,1.535323,13.51,ETV.N
ETY.N,2026-03-31,2.095657,13.51,ETY.N
EUAD.Z,2026-03-31,1.187974,40.2,EUAD.Z
EUFN.OQ,2026-03-31,3.292855,34.18,EUFN.OQ
EUSA.P,2026-03-31,1.46733,100.85,EUSA.P
EVLN.P,2026-03-31,1.28594,48.13,EVLN.P
EVSD.OQ,2026-03-31,1.145711,50.92,EVSD.OQ
EVT.N,2026-03-31,1.784554,24.37,EVT.N
EVTR.N,2026-03-31,4.947307,50.74,EVTR.N
EVV.A,2026-03-31,1.054546,9.22,EVV.A
EWA.P,2026-03-31,1.308148,27.41,EWA.P
EWC.P,2026-03-31,4.562068,54.05,EWC.P
EWG.P,2026-03-31,1.392831,39.01,EWG.P
EWJ.P,2026-03-31,17.461584,82.43,EWJ.P
EWL.P,2026-03-31,1.45238,58.05,EWL.P
EWP.P,2026-03-31,1.754592,53.27,EWP.P
EWT.P,2026-03-31,7.20632,68.75,EWT.P
EWU.P,2026-03-31,3.275228,45.17,EWU.P
EWW.P,2026-03-31,2.088212,74.23,EWW.P
EWY.P,2026-03-31,15.240687,116.62,EWY.P
EWZ.P,2026-03-31,9.361642,37.43,EWZ.P
EXG.N,2026-03-31,2.53315,8.46,EXG.N
EXI.P,2026-03-31,1.138605,177.85,EXI.P
EZU.Z,2026-03-31,8.744715,61.46,EZU.Z
FALN.OQ,2026-03-31,1.736121,26.62,FALN.OQ
FAS.P,2026-03-31,1.782641,113.2,FAS.P
FAUG.Z,2026-03-31,1.048369,51.39,FAUG.Z
FBCG.Z,2026-03-31,4.975671,49.07,FBCG.Z
FBND.P,2026-03-31,24.939049,45.56,FBND.P
FBT.P,2026-03-31,2.1809,198.12,FBT.P
FBTC.Z,2026-03-31,12.459576,58.39,FBTC.Z
FCOM.P,2026-03-31,1.553116,66.9,FCOM.P
FDEC.Z,2026-03-31,1.205097,49.34,FDEC.Z
FDIS.P,2026-03-31,1.58928,91.77,FDIS.P
FDL.P,2026-03-31,7.25823,50.84,FDL.P
FDLO.P,2026-03-31,1.33455,64.17,FDLO.P
FDN.P,2026-03-31,4.40895,229.52,FDN.P
FDT.OQ,2026-03-31,1.05624,84.95,FDT.OQ
FDVV.P,2026-03-31,8.338365,54.43,FDVV.P
FEGE.N,2026-03-31,1.489616,46.46,FEGE.N
FELC.P,2026-03-31,6.168249,35.79,FELC.P
FELG.P,2026-03-31,4.492645,36.85,FELG.P
FELV.P,2026-03-31,2.590508,34.57,FELV.P
FENI.P,2026-03-31,7.956288,36.65,FENI.P
FENY.P,2026-03-31,2.059439,34.78,FENY.P
FESM.P,2026-03-31,4.010896,37.44,FESM.P
FETH.Z,2026-03-31,1.162078,20.59,FETH.Z
FEX.OQ,2026-03-31,1.36747,120.61,FEX.OQ
FEZ.P,2026-03-31,4.247988,61.02,FEZ.P
FFEB.Z,2026-03-31,1.177596,55.47,FFEB.Z
FFSM.Z,2026-03-31,1.049762,31.31,FFSM.Z
FGD.P,2026-03-31,1.243352,31.6,FGD.P
FHLC.P,2026-03-31,2.741282,69.68,FHLC.P
FIDU.P,2026-03-31,1.794507,85.0,FIDU.P
FIW.P,2026-03-31,1.74557,101.8,FIW.P
FIXD.OQ,2026-03-31,3.389321,43.53,FIXD.OQ
FJAN.Z,2026-03-31,1.221413,49.86,FJAN.Z
FJUL.Z,2026-03-31,1.067399,54.36,FJUL.Z
FJUN.Z,2026-03-31,1.08147,56.04,FJUN.Z
FLCB.P,2026-03-31,2.870275,21.48,FLCB.P
FLDR.Z,2026-03-31,1.377224,50.02,FLDR.Z
FLGV.P,2026-03-31,1.009027,20.43,FLGV.P
FLIN.P,2026-03-31,2.47401,32.6,FLIN.P
FLJP.P,2026-03-31,2.893032,35.35,FLJP.P
FLMI.P,2026-03-31,1.851528,24.76,FLMI.P
FLOT.Z,2026-03-31,9.25106,50.88,FLOT.Z
FLQL.Z,2026-03-31,1.618097,66.59,FLQL.Z
FLQM.Z,2026-03-31,1.644336,54.44,FLQM.Z
FLRN.P,2026-03-31,2.768773,30.76,FLRN.P
FLTR.P,2026-03-31,2.596403,25.45,FLTR.P
FLTW.P,2026-03-31,1.465451,66.04,FLTW.P
FLXR.N,2026-03-31,2.844251,39.24,FLXR.N
FLYD.P,2026-03-31,93.010196,88.11,FLYD.P
FLYU.P,2026-03-31,93.010196,31.33,FLYU.P
FMAR.Z,2026-03-31,1.067206,48.09,FMAR.Z
FMAY.Z,2026-03-31,1.047352,52.32,FMAY.Z
FMB.OQ,2026-03-31,1.952388,50.67,FMB.OQ
FMDE.P,2026-03-31,5.70769,35.46,FMDE.P
FNCL.P,2026-03-31,2.132204,69.4,FNCL.P
FNDA.P,2026-03-31,9.043621,31.96,FNDA.P
FNDB.P,2026-03-31,1.114388,26.9,FNDB.P
FNDC.P,2026-03-31,3.014803,45.71,FNDC.P
FNDE.P,2026-03-31,8.682975,37.63,FNDE.P
FNDF.P,2026-03-31,21.117579,48.16,FNDF.P
FNDX.P,2026-03-31,23.250368,27.58,FNDX.P
FNGD.P,2026-03-31,93.010196,79.99,FNGD.P
FNGO.P,2026-03-31,93.010196,82.5,FNGO.P
FNGS.P,2026-03-31,93.010196,58.47,FNGS.P
FNGU.P,2026-03-31,93.010196,14.67,FNGU.P
FNOV.Z,2026-03-31,1.108331,52.91,FNOV.Z
FNX.OQ,2026-03-31,1.185715,126.91,FNX.OQ
FOCT.Z,2026-03-31,1.062882,46.77,FOCT.Z
FPE.P,2026-03-31,6.216424,17.69,FPE.P
FPEI.P,2026-03-31,1.901186,18.9,FPEI.P
FPF.N,2026-03-31,1.0478,17.48,FPF.N
FPX.P,2026-03-31,1.110622,155.75,FPX.P
FQAL.P,2026-03-31,1.14615,71.44,FQAL.P
FRDM.Z,2026-03-31,2.48948,53.14,FRDM.Z
FREL.P,2026-03-31,1.325174,26.7,FREL.P
FSCO.N,2026-03-31,1.023484,5.18,FSCO.N
FSEC.P,2026-03-31,4.387903,43.91,FSEC.P
FSEP.Z,2026-03-31,1.148117,49.83,FSEP.Z
FSIG.P,2026-03-31,1.486629,18.89,FSIG.P
FSMD.P,2026-03-31,2.07018,44.12,FSMD.P
FSTA.P,2026-03-31,1.415433,52.0,FSTA.P
FTA.OQ,2026-03-31,1.252457,92.17,FTA.OQ
FTC.OQ,2026-03-31,1.116975,151.16,FTC.OQ
FTCB.P,2026-03-31,2.22996,20.91,FTCB.P
FTCS.OQ,2026-03-31,7.777058,92.03,FTCS.OQ
FTEC.P,2026-03-31,14.429484,203.53,FTEC.P
FTGC.OQ,2026-03-31,2.503379,28.76,FTGC.OQ
FTGS.OQ,2026-03-31,1.134733,33.59,FTGS.OQ
FTHI.OQ,2026-03-31,1.995226,22.69,FTHI.OQ
FTLS.P,2026-03-31,2.131808,69.91,FTLS.P
FTSL.OQ,2026-03-31,2.16999,44.73,FTSL.OQ
FTSM.OQ,2026-03-31,4.372971,59.76,FTSM.OQ
FTXL.OQ,2026-03-31,1.406829,143.11,FTXL.OQ
FUTY.P,2026-03-31,2.436156,58.51,FUTY.P
FV.OQ,2026-03-31,3.148082,59.83,FV.OQ
FVAL.P,2026-03-31,1.052532,68.54,FVAL.P
FVD.P,2026-03-31,8.03747,46.62,FVD.P
FWD.P,2026-03-31,1.752988,105.76,FWD.P
FXI.P,2026-03-31,5.796,35.29,FXI.P
FXL.P,2026-03-31,1.250688,154.53,FXL.P
FXO.P,2026-03-31,1.021698,55.62,FXO.P
FYX.OQ,2026-03-31,1.016941,118.17,FYX.OQ
GAB.N,2026-03-31,1.705358,5.55,GAB.N
GAM.N,2026-03-31,1.556252,57.67,GAM.N
GARP.Z,2026-03-31,1.302628,62.73,GARP.Z
GBIL.P,2026-03-31,7.444376,100.18,GBIL.P
GBTC.P,2026-03-31,10.281778,52.18,GBTC.P
GCOW.Z,2026-03-31,3.239302,46.21,GCOW.Z
GDV.N,2026-03-31,2.310869,26.59,GDV.N
GDX.P,2026-03-31,26.595114,89.41,GDX.P
GDXD.P,2026-03-31,93.010196,45.64,GDXD.P
