ric,d07_avg,d07_vol,d07_max,d07_min,m01_max,m01_min,m01_avg,m01_vol,m06_max,m06_min,m06_avg,y01_max,y01_min,y01_avg,y02_max,y02_min,y02_avg,y03_max,y03_min,y03_avg,y05_max,y05_min,y05_avg,y10_max,y10_min,y10_avg
AAAU.Z,45.36,0.228567,46.21,44.32,46.21,44.32,45.36,0.228567,,,,,,,,,,,,,,,,,,
ACIO.Z,41.58,0.007359,42.02,41.13,42.02,41.13,41.58,0.007359,,,,,,,,,,,,,,,,,,
AAXJ.OQ,94.64,0.562859,96.36,92.53,96.36,92.53,94.64,0.562859,,,,,,,,,,,,,,,,,,
